სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
აადამ,,,,3,,,1,,,
აადილ,,,,,,,,,,1
ააიუშ,,,,,,,,,,1
აამირ,,,,,,,,1,,
აამნა ფირას,,,,,,,,1,,
აანა,,,,,,,,,,1
აარონ,,,1,1,,2,1,,,
აარონი,,1,,,,1,,,1,
აასია,,,1,,,,,,,
აასიმ,,1,,,,,,,,
აბაზ,1,,,,,1,,,,
აბაზა,,,,,,1,,,,
აბაი,,,,,1,,,,,
აბაიათ,,,1,,,,,,,
აბალვაზ,,,,,,,,,,1
აბალფაზ,3,2,2,,3,2,4,2,2,9
აბალფაზ საიდ,,,,,,,,,,1
აბალფაზლ,,,,,,,1,1,1,
აბალფეზ,,,,,,,,,1,
აბას,1,1,,,,1,2,2,,
აბასგულუ,,,,,,1,,,,
აბასკულუ,,,,,1,,,,,
აბაქარ,,,,,,,1,,,
აბახანუმ,,,,,1,,,,,
აბბას,2,1,,2,,4,2,5,2,4
აბბასალი,1,,,1,1,,,,1,1
აბბასგულუ,,1,,,1,,1,,,
აბბასკულუ,,,,,,,,,,1
აბგარ,,,,,,,,1,1,
აბგულ,,,,,,1,,,,
აბდ ალმალკ,,,,,,,,,,1
აბდელ  რაჰმან,,,,1,,,,,,
აბდელ რაჰმან,,,,,,1,,,,
აბდილქარიმ აჰმედ სალემ აუდა ჰევიშელ,,,,1,,,,,,
აბდუ,,,,,1,,,,,
აბდუ რაშიდ,,,,,,,1,,,
აბდულ,,1,,1,,1,1,1,1,1
აბდულ ვაჰაბ,,,,,1,,,,,
აბდულ მაჟიდა,,,,,,,,,1,
აბდულ რახმან,,,,,,1,,,,
აბდულ რაჰიმ,,,,,1,,,,,
აბდულ რზა,,,,,1,,,,,
აბდულ ქერიმ,,,,,,,,,1,
აბდულ ჰაქიმ,,,,,1,,,,,
აბდულა,3,4,5,4,6,4,3,5,3,3
აბდულა მოჰამედ,,,,,,,,,,1
აბდულაზიზი,,,,,1,,,,,
აბდულახ,,,1,,,,,,,
აბდულაჰ,1,1,,2,2,1,,3,1,
აბდულაჰი,,,,,,,,,1,
აბდულკადირ,,,,1,,,,,,
აბდულლა,,2,2,1,1,,2,2,,1
აბდულლაზ,,,,,1,,,,,
აბდულლახ,,,,,,,,,,1
აბდულლაჰ,,1,,2,1,1,4,1,1,2
აბდულლაჰ ასლან,,,,,,,,,1,
აბდულლაჰ ოგუზ,,,,,,,,,1,
აბდულლაჰხან,,,,,,,,,1,
აბდულმალიკ ოლამილეკან,,,,,,,,,,1
აბდულმალიქ,,,,,,,1,,,1
აბდულმეთინ,,,,,1,,,,,
აბდულრახმან,,,,1,,,,,,
აბდულრაჰიმ,,,,,,,1,,,
აბდულ-რაჰიმ,,,,,,,1,,,
აბდულრაჰმან,,1,,,,,,,,1
აბდულქადირ,,,,,,,1,,,
აბდულქერიმ,,,,1,,,,,,
აბდულ-ქერიმ,,,,,,1,,,,
აბდულხალიმ,,,,,1,,,,,
აბდულჰალიმ,,,,,,,,1,,
აბდულჰამიდ,,,,,,1,,,,
აბდურ რაჰმან,,1,,,,,,,,
აბდურახმან,,,,1,1,,1,1,,1
აბდურაჰმაან,,,,,,,,,,1
აბდურაჰმან,1,,,,,,,,,1
აბდურრაჰიმ,,,,,,,,,1,
აბდურრაჰმან,,,1,,,,,,,
აბდუსსამეთ,,,,,,,,1,,
აბელ,1,,,1,2,3,2,1,2,1
აბელი,,2,,3,1,2,1,4,2,1
აბელფაზ,,,,,,,1,,,
აბესალომ,1,2,,1,,,,1,1,
აბესალომ  საბა,,,,1,,,,,,
აბესალომი,,,,1,,,,1,,2
აბზარ,,,,1,1,,,1,1,
აბი,,,,,,1,,,,1
აბიბო,,1,,,1,,,,,
აბიგაილ,,,,,,,1,1,,1
აბიგაილ ესთერ,,,,,,,1,,,
აბიგაილ იაჰელი,,,,,,,,,1,
აბიგეილ,,,,,,,1,,,
აბიდა,1,,1,3,2,,,1,2,
აბიდინ,,,,1,,,,,,
აბიდინ ეფე,,,,,,,,,1,
აბიკო,,1,,,,1,,,,
აბილ,,,,1,,,,,,
აბილფაზ,2,,,,,,,,,
აბილფატ,,,,,,1,,,,
აბიჰაიათ,,,,,,,1,,,
აბო,2,7,9,3,4,3,6,4,7,13
აბრაამ,,,,,,,2,,,
აბრაამი,1,,2,,,,3,2,1,5
აბრამ,,,2,,,,3,3,1,
აბრამი,,,,1,,,,,,
აბრაჰამ,,,1,,1,,,1,,
აბუ ბაქარ,,,,,,,,1,,
აბუ ბაქრ,,,,,,1,,,,
აბუალფაზ,,1,,,,,,,,
აბუანას,,,,,,,,,,1
აბუბაკარ სიდდიყ,,,,,,,,1,,
აბუბაქარ,,1,,,,,1,,1,1
აბუ-ბაქარ,,,,,,,1,1,,
აბუბაქარი,,,1,,,,,,,
აბუზარ,1,1,,1,1,2,,,,
აბულფაზ,,1,1,2,1,,1,,,
აბულფაზაღა,,,,,,,,,1,
აბულფაზი,,,,,,,,,,1
აბულფაზლ,,,1,,,,,,2,
აბულფაზლიაბას,,,,,,,,,1,
აბულფათ,,,,,,,,1,,
აბულფას,,1,,,,,,,,
აბულფატ,,,,1,,,,,,
აბუმუსლიმ,,,,,1,,,,,
აბუჰაიათ,,,,,,,,,1,
აბქარ,,,,,,,,,1,
აბხანმ,,,,,1,,,,,
აგა,,,1,1,,,,1,,
აგალი,,,,1,1,,,1,1,
აგამ,,,,,,,2,,,
აგამირ,,,,1,,,,,,
აგარზა,,,,,,1,,,,
აგასი,2,,,,,,1,,,
აგასინ,,1,1,,,,,,,
აგასიფ,,,,1,,,,,,
აგატა,,,,1,,,,1,,1
აგაშა,,,,1,,,,,,
აგახან,,,1,,1,,,,,
აგელინა,,,,,,,,1,,
აგვან,,1,,,,,,,,
აგიგათ,2,2,1,,,,,,,
აგიგატ,,,1,,,,,,,
აგით,,,,,,1,,,,
აგილ,11,5,6,7,6,3,3,4,1,2
აგილა,,,,,,,1,,,
აგილი,,1,,,,,,,,
აგიტ,,,,,,1,,,,
აგლინა,,,,,,,,,,1
აგნეს,,,,,,,,1,,
აგნესა,,,,,1,,,1,,
აგნესსა,,,,,,,,,,1
აგნია,,,,,,,,,1,
აგობ,,,,1,,,,,,
აგული,,,,1,,,,,,
აგუნა,,,,,,1,,,,
აგშინ,1,2,2,,,,1,,1,1
ადა,2,3,3,,,1,2,5,9,9
ადა მარიამ,,,,,,1,,,,
ადაბიათ,1,,,,,,,,,
ადაია,,,,,,,,,,1
ადალათ,,,1,,1,1,1,2,,4
ადალატ,,,,,,1,,,1,1
ადალეთ,,,,,1,1,,,1,
ადამ,4,4,3,3,6,7,4,12,12,13
ადამ ანდრია,,,,,,,,1,,
ადამ დავით,,,,,,,,,1,
ადამ ლუის,,,,,,,,1,,
ადამ მინჰ,,,,,,,,,,1
ადამ რეუვენ,,,,,,,,,,1
ადამი,1,1,1,1,2,4,2,,1,2
ადან,,,,,,,,,,1
ადარ,,,,,,,,,1,
ადასსა,,,,,,,,,1,
ადბალა,,,,,,,,,,1
ადგოზალ,,,,,,1,,,,
ადეთ,1,,,,,,,,,
ადეი პრომის,,,,,,,,,,1
ადელ,,,,,1,1,1,2,2,1
ადელ ესტერ,,,,,,,,,1,
ადელა,,,,,1,,1,,,
ადელაიდა,,1,,1,1,,,1,,
ადელაიდე,1,,,,,,,,,
ადელაინი,,,,,,,,,,1
ადელე,,,,,,,,,1,
ადელი,,,,,,,,1,,2
ადელია,,,,2,,,,1,,1
ადელინა,3,7,2,5,2,4,4,8,7,6
ადემ,2,5,2,7,4,5,9,11,17,20
ადემალი,,,,,,,,,1,
ადემი,,,,,,,,,,1
ადენიკე,,,,,,,,,1,
ადვა,,,,,,,,,,1
ადვიკა,,1,,,,,,,,
ადი,,,,,,,,,1,1
ადია,,,,,,,,1,,
ადიგიუზელ,1,,,,,,,,,
ადივ ამი,,,,,,,,1,,
ადიზათ დანიელლა,,,,,,,1,,,
ადიიბ,,,,,,,,,1,
ადილ,3,7,2,3,6,5,5,4,8,6
ადილა,,2,,,1,1,,1,,1
ადილა ანდრია,,,,,,,,,1,
ადილე,,,,,1,,,,1,
ადილშახ,1,,,,,,,,,
ადილხან,2,,1,,1,3,3,1,3,
ადიმ ოდაი,,,,,,,,1,,
ადირ,,,,,,,,,1,
ადისეი,,1,,,,,,,,
ადიცა,,,,,,,1,,,
ადლან,,1,1,,1,1,1,,1,
ადლანა,,,,1,,,,,,
ადლანი,,,,,1,1,,,,
ადმირალ,,,,,1,,,,,
ადნა,,,,,,,1,,,
ადნან,,,,,,1,,,1,
ადო,,,,1,,,,,,
ადონაი,,,,,,1,,,,
ადჟამ,,,,,1,,,,,
ადრეანა,,,,,,,,,1,
ადრი,,,,,,,1,,,
ადრიან,,1,1,,,1,3,1,,4
ადრიანა,4,2,3,3,4,3,3,4,7,8
ადრიანე,,1,1,1,2,2,2,5,2,5
ადრიანნა,,,,,,,,,1,1
ადრინ,,,,,,,1,,,
ადრინე,,,,,,1,,,1,
აეკო,,1,,,,,,,,
აელინ,,1,,,1,,,,,
აელიტა,,1,,,,,,2,,
ავა,,,,,,1,,,,1
ავაგ,,1,,,,,,,,1
ავაზ,,,1,,,,,,1,
ავაზხან,,,,,,,,,,1
ავასა,,,,1,,,,,,
ავახანუმ,,3,,1,,,,,,
ავგუსტა,,,,,,,,,1,
ავდალ,1,,,,,,,,,
ავდიანი,,,,1,,,,,,
ავდილარი,,,,,,,,1,,
ავდულ,,,,,,,,,1,
ავედიკ,,1,,,,,,,,
აველინა,,,,,1,,,,,
ავერ,,,,1,,,,,,
ავეტ,,,,,1,,,1,2,1
ავეტიკ,,2,1,,,,1,1,,
ავეტის,,1,,1,,,,,1,
ავვა,,,,,,,,,,1
ავთა,,,,,1,,,,,
ავთანდილ,101,105,97,87,74,59,54,50,33,35
ავთანდილ  ბექა,,,,1,,,,,,
ავთანდილ ალექსანდრე,,,,,,,,1,,
ავთანდილ ალექსი,,,,,,,1,,,
ავთანდილ თომა,,,,,,1,,,,
ავთანდილ მათე,,,,,,,1,,,
ავთანდილ შიო,,,,,,1,,,,
ავთანდილ-ბუბა,1,,,,,,,,,
ავთანდილი,27,48,58,46,47,46,49,45,38,32
ავთანდილი  საბა,,,,,,1,,,,
ავთი,,,,,1,,,,,
ავთნდილი,,,,,,,,,1,
ავთო,18,9,15,18,14,13,17,12,6,6
ავთო-გიორგი,,,1,,,,,,,
ავიგაილ,,,,,,1,1,2,,
ავიდან,,,,1,,,,,1,
ავიელა კემჯიკა,,,,,,,,1,,
ავივ,,,,,,,3,,,1
ავივ ბატია,,,,,,,,,1,
ავივ ედით,,,,,,,,,,1
ავიკ,,,,1,,,,,,
ავილ,1,,,,,,,,,
ავილახ,,1,,,,,,,,
ავირამ რაფაელ,,,,,,,,,,1
ავიტალ,,,,,,,,,,2
ავიშაგ,,,,,,,,1,,
ავიშაი,,,,,,,,,,1
ავიშკა იტან,,,,,,,,,1,
ავიჰუ ელია,,,,,,,,,,1
ავნერ ლოუის,,,,,,,,1,,
ავნი,,,1,,,,,,,
ავო,,,,,,,1,,,
ავრაამ,,,,1,,,,,,
ავრამი,,,,1,,,,,,
ავრორა,,2,,,1,1,1,2,1,
ავსაინა,,,1,,,,,,,
ავსანა,,1,1,1,2,,,1,,
ავტანდილ,,,,,,,1,,,
ავტანდილი,,,,,,1,,,,
ავულ,,1,,,,,,,,
ავშან,,,1,,1,,,,,
აზა,4,8,4,1,1,2,2,1,1,3
აზად,3,1,4,1,1,3,3,1,2,
აზად ალი,,,,,,,,,1,
აზადა,,2,,,1,,,1,,1
აზადე,,,1,2,,,,,,
აზათ,1,1,1,4,,,,3,2,1
აზაიდა,,,,,,,1,,,
აზალ,1,,,1,,,,,,
აზალია,,,,,,,1,,,
აზალხან,1,,,,1,,,,,
აზამ,,,,,,1,1,,,
აზამათ,,,,,,,,1,,
აზარ,2,,,,,1,,,,
აზატ,,2,3,1,,2,,1,1,1
აზატა,,,,,,,1,,,
აზგანუშ,,,,1,,,,1,1,1
აზეი,,,,,,1,,,,
აზეიმათ,,,1,,,,1,,,
აზერ,1,2,4,4,1,6,2,2,1,1
აზერინ,,,,,,,,1,,
აზზამან,,,,,1,,,,,
აზი,,,,,,,,1,,
აზიზ,3,2,3,5,,,,,1,4
აზიზ   ჯან,,,,,,,,,,1
აზიზა,,2,3,2,1,1,,,,1
აზიზი,,,,,,,,1,,
აზიკო,,,1,,,,,,,
აზილ,,,,,1,,,,,
აზიმ,,1,,1,2,,2,1,1,
აზირ,1,,,,,,,,,
აზის,,,,,,1,,,,
აზმავეთი,,,,,,,,1,,
აზმირ,,,,1,,,,,,
აზნივ,,1,1,,2,,1,,1,
აზრა,,1,,1,1,1,,1,1,
აზრა ბეთულ,,,,,,1,,,,
აზრა ბეთულ ნარ,,,,,,1,,,,
აზრა დენიზ,,,,1,,,,,,
აზრა იაშარ,,,,,,,,,,1
აზრა ლიზა,,,,,,,,1,,
აზრა ჯასმინ,,,,,1,,,,,
აზჰარ,,,,,,,,,1,
ათა,,1,,,,,,1,,
ათა ბაირამ,1,,,,,,,,,
ათა გიორგი,1,,,,,,,,,
ათა სეიმენ,,,,,,,1,,,
ათაბაი,,,,1,,,,,,
ათაი,,,,,,1,,,,
ათანასე,,,1,,,,,,1,
ათანასია,,,,1,,,,1,2,2
ათაქან,,,,,,,,,1,
ათაქიში,,,,,,,1,,,
ათაშ,2,2,,1,1,,,,,
ათახან,,,,,,1,,,,
ათენა,,,,,,,,,2,
ათეშ,,2,,,1,,1,,1,4
ათთილა,,,,,,1,,,,
ათთილა აიბარს,,,,,,,,,1,
ათიე,,,,,,1,,,,
ათილა,,,,,,,1,,,
ათილლა,,,,,,1,1,1,,
ათინა,,,,,1,1,,,,
ათლაზ,,,1,,,,,,,
ათლას,1,,1,,,,,2,,
ათრნისა,,1,,,,,,,,
ათუკა,,,,,,,1,2,,3
აია,,,,,,,,,3,1
აია სოფია,,,,,1,,,,,
აიაზ,1,4,3,4,,3,15,12,9,3
აიაზი,,,,,1,,,,1,
აიათ,,,,,,1,,,,1
აიან,3,4,3,9,20,23,18,29,16,25
აიან ეჰსან,,,,,,,,,1,
აიანა,,1,1,,,,2,,,
აიანი,,,,,,,,1,,
აიაჟან,,,,,,,1,,,
აიას,1,,,,,,,,,
აიასტან,,,1,,,,,,,
აიბანიზ,1,1,1,1,,2,3,2,4,
აიბანიზი,,,,,,,,,,1
აიბენიზ,,,,,,1,,,,
აიბიქა,,,,,,,,,,1
აიბულუტ,,,,,,1,,,,
აიგზ,,,,1,,,,,,
აიგიულ,,,1,,1,1,1,,,
აიგიუნ,3,3,2,1,,1,1,,,
აიგულ,3,,,5,1,4,1,1,,
აიგულა,1,,,,,,,,,
აიგუნ,11,6,8,10,5,5,5,5,3,4
აიგუნა,,,,,,,,1,,
აიდა,8,8,9,4,6,9,3,7,5,6
აიდამ,,,1,,,,,,,2
აიდან,8,11,12,12,8,12,10,8,12,5
აიდე,2,,,1,,,,,,
აიდემ,,1,,1,,,,,,
აიდენ,1,,,,,,,,,
აიდინ,4,5,5,8,2,5,5,4,4,7
აიდინი,,,,1,,1,,,,
აიდნ,,,,,,,1,,,
აიელეთ,,,,,,1,,,,
აივაგულ,,,,,,,,1,,
აივაზ,5,1,2,3,1,3,3,6,3,2
აივაზი,,,,,,,1,,,
აივარ,,,,,,,,1,,
აივენგო,,,1,,,,,,,
აიზა,,,,,,1,,,,2
აიზანათ,,,,,1,,,,,
აიზელ,,,,,,,,1,,
აიზერ,,,,,,1,1,,,
აითაკინ,,1,,,,,,,,
აითამიზ,,,,1,,,,,,
აითან,17,15,9,3,7,7,3,3,2,1
აითაქინ,4,4,1,1,,1,,,,
აითაშ,,1,,,,,1,,,
აითაჩ,3,6,8,8,2,2,4,2,2,
აითაც,3,1,2,3,2,2,1,2,,
აითაძ,,1,1,,,,1,1,2,
აითაწ,,,,,,,,,,1
აითაჯ,15,12,11,11,7,3,2,3,3,3
აითაჯი,,,,1,,,,,,
აითეკინ,,,,,,1,1,,,
აითელ,,,1,,,,,,,
აითენ,5,1,2,2,1,2,,1,1,
აითენე,,,,1,,,,,,
აითექინ,2,,,,,1,,1,,1
აითუნ,1,,,,1,1,,,1,
აიილინ,1,,,,,,,,,
აიკ,2,,,,1,,,1,,
აიკა,1,,,,,,,,,
აიკაზ,,,,,,,1,,1,
აიკან,,1,,,,,,,,
აიკანუშ,1,,,,,,,,,
აიკას,,1,,,,,,,,
აიკუნ,1,,,,,,,,,
აიკუშ,,,,,,,1,,,
აილა,3,4,4,4,9,10,10,11,10,18
აილა ფლორა,,,,,,,,1,,
აილა ფუნდა,,,,,1,,,,,
აილან,,1,,,,,,,,
აილენ,,,,,,,1,,,
აილენ მარკ ალბერტ,,,,1,,,,,,
აილიდან,,,,,1,,,,,
აილიმ,,1,,,,,,,,
აილინ,35,37,41,41,47,51,67,72,59,44
აილინ სურაია,,,1,,,,,,,
აილინა,,1,,,,,,,,1
აილინი,,1,1,,1,,,2,,1
აილიტა,,,1,,,,,,,
აიმა,,,,1,,,,,,
აიმაან,,,,,,1,,,,
აიმან,,,,,,,,1,,
აიმანი,,,,,1,,,,,
აიმარ,,1,,1,,1,,,,1
